場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,ダート,1800,右,曇,良,1,7,10,グラングスト,牝,3,54,坂井瑠星,1:54.6,,2-2-2-2,37.5,1.5,1,550,+10
京都,ダート,1800,右,曇,良,2,8,13,アウロス,牝,3,54,岩田望来,1:54.6,クビ,3-3-3-2,37.4,3.2,2,488,0
京都,ダート,1800,右,曇,良,3,1,1,フローラサンライズ,牝,3,54,国分恭介,1:56.2,10,13-13-12-11,37.9,138.4,11,442,+2
京都,ダート,1800,右,曇,良,4,8,12,ウインコマチ,牝,3,54,和田竜二,1:56.3,クビ,1-1-1-1,39.4,13.6,3,432,-4
京都,ダート,1800,右,曇,良,5,4,4,ハイグッドシャイン,牝,3,54,和田翼,1:56.7,2.1/2,7-7-7-5,39.1,218.7,12,468,-2
京都,ダート,1800,右,曇,良,6,7,11,ブライテン,牝,3,54,太宰啓介,1:56.7,アタマ,11-11-10-9,38.6,47.1,7,414,+2
京都,ダート,1800,右,曇,良,7,6,9,ティータイム,牝,3,54,中井裕二,1:57.1,2.1/2,9-8-7-7,39.3,82.5,9,458,-4
京都,ダート,1800,右,曇,良,8,3,3,エリカエクラ,牝,3,54,北村友一,1:57.3,1,9-10-10-11,39.3,65.7,8,476,-12
京都,ダート,1800,右,曇,良,9,4,5,ラマジ,牝,3,51,田口貫太,1:57.4,1,8-8-7-9,39.6,18.4,4,432,-2
京都,ダート,1800,右,曇,良,10,5,6,セビーチェ,牝,3,54,吉田隼人,1:57.9,3,4-3-3-4,40.7,30.8,6,486,+4
京都,ダート,1800,右,曇,良,11,6,8,メイショウアダーラ,牝,3,54,幸英明,1:58.4,3,4-5-5-5,40.8,23.4,5,468,0
京都,ダート,1800,右,曇,良,12,5,7,アルマケルブ,牝,3,54,鮫島克駿,1:58.5,1/2,6-6-5-7,40.9,84.8,10,464,+14
京都,ダート,1800,右,曇,良,13,2,2,クリノキスミント,牝,3,54,酒井学,1:59.7,7,12-12-13-13,41.2,246.2,13,426,+14
