場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,ダート,1200,右,晴,良,1,4,7,エイユーストロング,牡,4,57,和田竜二,1:12.5,,1-1,37.3,27.2,9,466,+4
阪神,ダート,1200,右,晴,良,2,1,2,エヴァン,牡,5,57,川須栄彦,1:12.6,クビ,2-2,37.2,49.8,11,466,-8
阪神,ダート,1200,右,晴,良,3,7,14,アッティーヴォ,牡,8,54,角田大和,1:12.8,1.1/4,10-10,36.6,12.9,5,458,0
阪神,ダート,1200,右,晴,良,4,8,15,コウイチ,牡,5,57,戸崎圭太,1:12.8,クビ,5-4,36.9,8.3,3,492,-6
阪神,ダート,1200,右,晴,良,5,8,16,ミスズメジャー,牡,4,57,古川吉洋,1:12.8,ハナ,8-7,36.8,13.7,6,470,+2
阪神,ダート,1200,右,晴,良,6,2,4,ミッキーマインド,牡,7,57,浜中俊,1:12.9,1/2,16-15,36.1,43.8,10,478,-8
阪神,ダート,1200,右,晴,良,7,3,6,ルーリング,牡,4,57,岩田望来,1:12.9,アタマ,13-12,36.4,76.3,15,510,+4
阪神,ダート,1200,右,晴,良,8,5,9,ミラクル,牝,4,55,池添謙一,1:13.2,1.3/4,5-4,37.4,14.9,7,468,+2
阪神,ダート,1200,右,晴,良,9,3,5,エスケーアタランタ,牝,6,55,酒井学,1:13.3,アタマ,3-3,37.7,65.2,13,468,0
阪神,ダート,1200,右,晴,良,10,5,10,ディーズローリエ,牝,5,55,秋山真一,1:13.3,クビ,13-12,36.9,66.1,14,448,+2
阪神,ダート,1200,右,晴,良,10,6,12,オカリナ,牡,5,57,鮫島良太,1:13.3,同着,13-15,36.6,8.4,4,542,+2
阪神,ダート,1200,右,晴,良,12,4,8,ビーアイフェリペ,牡,4,57,菱田裕二,1:13.3,ハナ,12-12,37.0,2.3,1,526,+10
阪神,ダート,1200,右,晴,良,13,1,1,クリノレオノール,牝,8,55,森裕太朗,1:13.5,1.1/4,3-4,37.9,182.7,16,474,-8
阪神,ダート,1200,右,晴,良,14,6,11,エスシーミホーク,セ,5,57,鮫島克駿,1:13.7,1,10-10,37.5,25.0,8,482,-4
阪神,ダート,1200,右,晴,良,15,7,13,タガノペカ,牝,4,55,幸英明,1:13.9,1.1/4,8-8,37.9,5.3,2,508,-8
阪神,ダート,1200,右,晴,良,16,2,3,セイレーン,牝,4,53,小沢大仁,1:13.9,クビ,5-8,38.0,51.2,12,398,-2
