場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
小倉,ダート,1700,右,晴,稍重,1,2,4,ララマルシュドロワ,牡,3,56,和田竜二,1:44.0,,1-1-1-1,37.7,10.1,6,496,+12
小倉,ダート,1700,右,晴,稍重,2,4,8,イサイアス,牡,3,53,田口貫太,1:44.9,5,4-7-6-3,38.1,7.4,4,442,-4
小倉,ダート,1700,右,晴,稍重,3,5,10,タンバッフェ,牝,3,54,幸英明,1:45.5,3.1/2,12-12-9-6,38.3,17.0,8,456,0
小倉,ダート,1700,右,晴,稍重,4,6,11,ヴォランテ,牡,3,53,川端海翼,1:45.5,ハナ,12-14-12-8,38.0,41.2,11,448,0
小倉,ダート,1700,右,晴,稍重,5,1,2,ホッコーソムニウム,牡,3,56,松山弘平,1:45.6,3/4,9-7-6-6,38.7,13.7,7,484,+8
小倉,ダート,1700,右,晴,稍重,6,1,1,ファイブレイナ,牝,3,50,河原田菜,1:45.8,1.1/4,4-3-4-3,39.1,4.9,2,420,0
小倉,ダート,1700,右,晴,稍重,7,4,7,カッチュッコ,牝,3,54,国分恭介,1:46.0,1,2-2-2-2,39.6,47.6,12,534,+8
小倉,ダート,1700,右,晴,稍重,8,6,12,ヴィヴラガレット,牝,3,54,国分優作,1:46.2,1.1/2,14-12-11-10,38.9,160.9,14,434,+2
小倉,ダート,1700,右,晴,稍重,9,8,16,テイエムハヤカケン,牡,3,56,高倉稜,1:46.3,クビ,8-9-9-8,39.1,40.7,10,504,+2
小倉,ダート,1700,右,晴,稍重,10,3,5,ティエラボニータ,牡,3,56,飛田愛斗,1:47.3,6,11-10-13-12,39.7,198.9,15,492,+16
小倉,ダート,1700,右,晴,稍重,11,2,3,ロットゥーラ,牡,3,53,西塚洸二,1:47.7,2.1/2,4-6-6-10,40.8,9.0,5,444,-8
小倉,ダート,1700,右,晴,稍重,12,8,15,フィッシュポンド,牡,3,55,角田大河,1:47.7,クビ,4-3-3-3,41.1,3.7,1,500,+10
小倉,ダート,1700,右,晴,稍重,13,3,6,マレフィセントラヴ,牝,3,53,秋山稔樹,1:47.7,ハナ,9-10-14-13,39.3,6.2,3,532,-2
小倉,ダート,1700,右,晴,稍重,14,7,13,メイショウサツマ,牡,3,53,今村聖奈,1:48.3,3.1/2,15-15-14-14,39.8,111.6,13,482,-6
小倉,ダート,1700,右,晴,稍重,15,7,14,レグナム,牡,3,56,藤岡康太,1:53.0,大,3-3-4-14,46.3,17.5,9,484,-18
小倉,ダート,1700,右,晴,稍重,除,5,9,マテンロウイーグル,牡,3,56,太宰啓介,,,,,---,,556,+18
