場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
新潟,ダート,1800,左,晴,良,1,8,12,アイコンテーラー,牝,5,54,菱田裕二,1:50.8,,3-3-2-2,36.9,20.7,8,474,0
新潟,ダート,1800,左,晴,良,2,5,7,ブルベアイリーデ,牡,7,58,Ｍ．デム,1:51.1,2,6-7-5-4,36.6,24.9,9,498,-4
新潟,ダート,1800,左,晴,良,3,4,4,ヴァンヤール,牡,5,57,荻野極,1:51.5,2.1/2,8-8-6-5,36.8,2.4,1,526,-8
新潟,ダート,1800,左,晴,良,4,4,5,オディロン,牡,4,55,田辺裕信,1:51.9,2.1/2,9-8-9-10,36.9,12.2,5,488,+6
新潟,ダート,1800,左,晴,良,5,7,10,ゲンパチルシファー,牡,7,58,大野拓弥,1:52.0,3/4,9-10-11-11,36.7,107.7,11,518,-2
新潟,ダート,1800,左,晴,良,6,1,1,スマッシングハーツ,牡,7,57,津村明秀,1:52.1,1/2,12-12-12-11,36.6,14.5,6,510,-4
新潟,ダート,1800,左,晴,良,7,6,9,サンマルレジェンド,牡,5,55,酒井学,1:52.1,クビ,2-2-2-1,38.2,7.2,3,484,-2
新潟,ダート,1800,左,晴,良,8,7,11,ヘラルドバローズ,牡,4,56,菅原明良,1:53.0,5,3-3-4-5,38.8,4.2,2,500,+4
新潟,ダート,1800,左,晴,良,9,2,2,ファイアランス,牡,6,54,木幡巧也,1:53.2,1.1/4,1-1-1-2,39.4,211.0,13,518,0
新潟,ダート,1800,左,晴,良,10,8,13,ガンダルフ,牡,5,56,三浦皇成,1:53.2,クビ,9-10-9-8,38.3,7.7,4,484,+2
新潟,ダート,1800,左,晴,良,11,6,8,フォーヴィスム,牡,5,55,内田博幸,1:53.5,1.1/2,6-5-6-8,38.7,34.1,10,520,-12
新潟,ダート,1800,左,晴,良,12,3,3,ホウオウトゥルース,セ,7,54,永野猛蔵,1:53.6,1/2,13-13-13-13,37.8,126.1,12,478,-6
新潟,ダート,1800,左,晴,良,13,5,6,ゴールドパラディン,牡,6,55,北村宏司,1:53.6,ハナ,5-5-6-7,38.8,18.5,7,428,-10
