場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
東京,芝,1400,左,晴,稍重,1,6,10,グラスミヤラビ,牝,4,54,柴田善臣,1:20.6,,13-13,33.4,14.1,7,492,+2
東京,芝,1400,左,晴,稍重,2,4,7,シュヴェルトライテ,牝,4,55,Ｍ．デム,1:20.6,クビ,6-7,34.0,3.4,1,438,-2
東京,芝,1400,左,晴,稍重,3,3,5,ボルザコフスキー,牡,4,56,バシュロ,1:20.8,1.1/4,6-5,34.3,4.6,2,504,+2
東京,芝,1400,左,晴,稍重,4,1,1,ブルーシンフォニー,牡,5,55,田辺裕信,1:20.9,クビ,12-12,33.9,17.6,8,478,+4
東京,芝,1400,左,晴,稍重,5,2,3,サルファーコスモス,牝,5,54,永野猛蔵,1:20.9,1/2,9-9,34.1,27.6,10,492,+24
東京,芝,1400,左,晴,稍重,6,3,4,ランドオブリバティ,牡,5,56,松山弘平,1:21.1,1.1/4,3-3,34.9,8.1,3,480,+4
東京,芝,1400,左,晴,稍重,7,6,11,レッドクレオス,牡,7,54,内田博幸,1:21.2,1/2,9-9,34.4,65.3,13,482,+12
東京,芝,1400,左,晴,稍重,8,4,6,ピーエムピンコ,牝,6,53,大野拓弥,1:21.4,1.1/4,14-14,34.0,52.6,12,418,0
東京,芝,1400,左,晴,稍重,9,7,13,ルース,牝,5,54,木幡巧也,1:21.6,1.1/4,2-2,35.6,10.8,6,494,0
東京,芝,1400,左,晴,稍重,10,7,12,シュアーヴアリア,牝,5,55,三浦皇成,1:21.6,ハナ,11-11,34.7,30.8,11,492,+2
東京,芝,1400,左,晴,稍重,11,8,15,ビーオンザマーチ,牝,4,54,津村明秀,1:21.6,クビ,5-5,35.2,18.8,9,476,0
東京,芝,1400,左,晴,稍重,12,2,2,タイニーロマンス,牝,5,54,菅原明良,1:21.6,アタマ,1-1,35.7,8.8,5,522,-4
東京,芝,1400,左,晴,稍重,13,8,14,オースミカテドラル,牡,7,54,石橋脩,1:21.7,3/4,8-7,35.1,87.9,14,460,-2
東京,芝,1400,左,晴,稍重,14,5,9,カルリーノ,牡,7,54,石川裕紀,1:21.9,1.1/4,15-15,34.2,183.1,15,522,+2
東京,芝,1400,左,晴,稍重,15,5,8,フォラブリューテ,牝,4,54,ルメール,1:23.4,9,3-3,37.1,8.1,4,464,+12
