場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
小倉,芝,2000,右,晴,重,1,7,10,カイザー,牡,4,57,西村淳也,2:02.0,,5-5-4-4,35.1,4.0,2,486,-4
小倉,芝,2000,右,晴,重,2,6,8,ヒルノアントラ,セ,6,58,勝浦正樹,2:02.0,クビ,11-10-10-11,34.6,36.7,10,460,0
小倉,芝,2000,右,晴,重,3,4,4,オウケンボルト,牡,4,57,丸山元気,2:02.1,クビ,1-1-1-1,35.5,14.2,7,458,-2
小倉,芝,2000,右,晴,重,4,5,6,タイラーテソーロ,牡,4,57,菱田裕二,2:02.1,クビ,12-12-12-12,34.4,33.6,9,472,+4
小倉,芝,2000,右,晴,重,5,7,9,ラウルピドゥ,牡,4,57,斎藤新,2:02.2,3/4,10-10-10-7,34.8,5.9,3,470,-10
小倉,芝,2000,右,晴,重,6,2,2,バガン,牡,5,58,藤岡康太,2:02.2,ハナ,6-5-6-6,35.1,3.8,1,472,+2
小倉,芝,2000,右,晴,重,7,8,12,サンズオブタイム,牡,5,58,幸英明,2:02.3,クビ,2-3-2-2,35.5,14.6,8,504,+2
小倉,芝,2000,右,晴,重,8,1,1,コスモフロイデ,牡,4,57,丹内祐次,2:02.4,3/4,4-3-4-4,35.5,7.8,5,474,+2
小倉,芝,2000,右,晴,重,9,8,11,サトノヴィーナス,牝,6,56,北村友一,2:02.4,ハナ,8-8-7-7,35.2,7.0,4,484,0
小倉,芝,2000,右,晴,重,10,6,7,ハイエログリフ,牝,5,56,浜中俊,2:02.6,1,8-8-7-7,35.4,10.8,6,450,-12
小倉,芝,2000,右,晴,重,11,3,3,フェブサンカラ,牝,4,55,富田暁,2:03.7,7,6-7-7-7,36.5,242.7,12,404,0
小倉,芝,2000,右,晴,重,12,5,5,マイネルカグラ,牡,4,57,国分優作,2:03.9,1.1/4,2-2-2-2,37.2,78.8,11,516,-4
