場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,芝,2200,左,晴,良,1,3,4,アイザックバローズ,牡,3,55,川田将雅,2:14.4,,10-9-6-6,35.7,2.4,1,474,-2
中京,芝,2200,左,晴,良,2,7,11,オーパンバル,牝,5,56,団野大成,2:14.6,1.1/4,12-12-13-12,35.7,70.0,10,472,+20
中京,芝,2200,左,晴,良,3,6,9,ミアステラ,牡,4,55,西塚洸二,2:14.7,3/4,1-1-1-1,36.6,44.5,7,498,-4
中京,芝,2200,左,晴,良,4,1,1,ブレイクボーイ,牡,3,55,岩田望来,2:14.7,クビ,7-8-8-6,36.1,7.4,4,470,0
中京,芝,2200,左,晴,良,5,6,10,サンスノーフレーク,牝,3,53,酒井学,2:14.8,1/2,7-9-9-12,35.9,3.5,2,460,0
中京,芝,2200,左,晴,良,6,8,13,バロッサヴァレー,牝,3,53,坂井瑠星,2:15.0,1.1/2,4-6-6-6,36.4,5.2,3,458,+14
中京,芝,2200,左,晴,良,7,3,3,ナムララジベラ,牝,3,53,高倉稜,2:15.1,クビ,6-5-4-3,36.7,26.1,6,454,+4
中京,芝,2200,左,晴,良,8,4,5,ニホンピロアリー,牝,3,50,田口貫太,2:15.3,1.1/2,4-3-4-3,36.9,45.6,8,414,-10
中京,芝,2200,左,晴,良,9,5,7,ボンベール,牡,7,58,ホー,2:15.5,1,2-2-2-2,37.3,47.7,9,490,0
中京,芝,2200,左,晴,良,10,4,6,ケイアイサンデラ,牡,3,55,藤懸貴志,2:15.8,2,7-6-9-9,37.0,12.8,5,432,0
中京,芝,2200,左,晴,良,11,8,14,ツクヨミ,牡,3,55,藤岡康太,2:15.9,1/2,10-11-9-9,37.1,96.9,13,456,-4
中京,芝,2200,左,晴,良,12,2,2,ソルトキャピタル,牡,6,58,太宰啓介,2:16.4,3.1/2,14-14-14-14,37.3,247.7,14,510,-8
中京,芝,2200,左,晴,良,13,5,8,ヒメナデシコ,牝,3,53,幸英明,2:16.7,2,2-3-3-3,38.3,82.0,11,434,+10
中京,芝,2200,左,晴,良,14,7,12,レイリ,牡,4,58,荻野極,2:16.9,1,12-12-9-9,38.1,92.2,12,524,-8
