場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
小倉,ダート,1700,右,曇,重,1,3,5,シークレットキー,牡,3,55,小沢大仁,1:44.5,,3-4-7-6,36.8,33.4,11,484,-10
小倉,ダート,1700,右,曇,重,2,7,14,クリオミニーズ,牡,5,58,幸英明,1:44.5,ハナ,3-3-3-3,37.3,15.5,5,490,-2
小倉,ダート,1700,右,曇,重,3,2,4,イルミネーター,牡,7,58,水口優也,1:44.6,1/2,13-12-1-1,37.7,82.8,13,478,+2
小倉,ダート,1700,右,曇,重,4,1,2,シンリミテス,牡,5,58,西塚洸二,1:44.7,1/2,16-16-16-16,35.5,26.2,8,494,-6
小倉,ダート,1700,右,曇,重,5,3,6,トゥルブレンシア,セ,7,58,Ｍ．デム,1:44.7,アタマ,6-9-8-7,36.7,69.9,12,454,-4
小倉,ダート,1700,右,曇,重,6,7,13,ジーニアスバローズ,牡,4,58,西村淳也,1:44.8,クビ,6-6-5-4,37.3,2.7,1,456,-8
小倉,ダート,1700,右,曇,重,7,1,1,ミヤジシャルマン,牡,4,58,松山弘平,1:44.9,1/2,6-6-12-10,36.7,8.3,3,494,+2
小倉,ダート,1700,右,曇,重,8,4,7,メイショウマントル,牡,6,58,国分優作,1:45.0,1/2,12-12-13-13,36.7,145.1,15,516,-2
小倉,ダート,1700,右,曇,重,9,8,15,タイセイウォリアー,牡,4,58,和田竜二,1:45.0,クビ,2-2-4-4,37.6,31.2,9,496,+8
小倉,ダート,1700,右,曇,重,10,6,12,ツウカイリアル,牡,4,58,田口貫太,1:45.4,2,10-9-8-10,37.4,3.3,2,490,-2
小倉,ダート,1700,右,曇,重,11,5,9,タイキドミニオン,牡,6,58,国分恭介,1:45.4,クビ,14-14-15-13,36.8,160.1,16,524,-2
小倉,ダート,1700,右,曇,重,12,2,3,ノボリクレバー,牝,4,56,酒井学,1:45.4,ハナ,3-4-8-9,37.5,23.6,7,494,0
小倉,ダート,1700,右,曇,重,13,5,10,ワンダーブレット,セ,5,58,小牧太,1:45.6,1,10-9-5-7,38.0,31.4,10,504,-8
小倉,ダート,1700,右,曇,重,14,6,11,シュガーコルト,セ,5,58,小崎綾也,1:45.7,1/2,14-14-13-15,37.4,17.0,6,490,0
小倉,ダート,1700,右,曇,重,15,8,16,インテンソ,牡,4,58,角田大和,1:45.9,1.1/2,1-1-2-2,39.0,8.6,4,486,-4
小倉,ダート,1700,右,曇,重,16,4,8,カズロレアート,牡,6,58,坂井瑠星,1:46.0,アタマ,6-6-8-12,38.0,141.4,14,494,-2
