場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
札幌,ダート,1000,右,曇,良,1,6,7,ベジェサ,牝,3,54,横山和生,0:59.3,,1-1,35.2,3.5,2,494,-2
札幌,ダート,1000,右,曇,良,2,7,10,サリーチャン,牝,3,53,秋山稔樹,0:59.5,1.1/2,2-2,35.4,5.0,4,450,+2
札幌,ダート,1000,右,曇,良,3,6,8,ジェネラルウィル,牝,3,54,ホー,0:59.6,3/4,2-3,35.4,4.4,3,462,+6
札幌,ダート,1000,右,曇,良,4,1,1,スターザサンライズ,牝,3,54,斎藤新,0:59.9,1.3/4,11-10,34.1,10.1,5,444,-4
札幌,ダート,1000,右,曇,良,5,5,6,デュードメール,牝,3,54,吉田隼人,0:59.9,アタマ,8-9,34.8,47.7,7,458,-2
札幌,ダート,1000,右,曇,良,6,3,3,グランパドゥシャ,牝,3,52,小林凌大,1:00.3,2.1/2,4-3,36.0,17.0,6,440,+4
札幌,ダート,1000,右,曇,良,7,8,11,プレミアムベリー,牝,3,53,角田大和,1:00.3,ハナ,4-3,36.0,3.4,1,440,-2
札幌,ダート,1000,右,曇,良,8,5,5,アンジーニョ,牝,3,54,松山弘平,1:00.3,アタマ,8-7,35.2,52.4,8,424,+10
札幌,ダート,1000,右,曇,良,9,2,2,ムーンワード,牝,3,54,丹内祐次,1:00.7,2,4-3,36.4,59.9,10,464,-18
札幌,ダート,1000,右,曇,良,10,4,4,メイショウカンギク,牝,3,53,泉谷楓真,1:00.7,クビ,7-7,35.8,86.4,11,466,+4
札幌,ダート,1000,右,曇,良,11,7,9,ベルアクトリス,牝,3,50,古川奈穂,1:00.8,1/2,10-11,35.4,57.7,9,462,+2
札幌,ダート,1000,右,曇,良,12,8,12,アタカマリン,牝,3,54,柴山雄一,1:01.9,7,12-12,35.4,167.2,12,478,-4
