場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
新潟,,,,曇,良,1,1,1,オクタヴィアヌス,牡,3,55,ルメール,1:57.6,,4-4,33.7,4.2,3,510,0
新潟,,,,曇,良,2,6,11,ホウオウムサシ,牡,3,55,石川裕紀,1:58.7,7,6-6,34.5,7.7,4,440,0
新潟,,,,曇,良,3,2,3,テラフォーミング,牡,4,58,津村明秀,1:58.7,クビ,2-2,35.1,21.8,7,486,+8
新潟,,,,曇,良,4,4,6,ロードプレイヤー,牡,3,55,菅原明良,1:58.8,1/2,7-8,34.5,2.8,1,452,0
新潟,,,,曇,良,5,3,4,ローブエリタージュ,牝,4,56,丸山元気,1:58.9,3/4,10-9,34.4,26.7,8,400,0
新潟,,,,曇,良,6,3,5,ルクスビッグスター,牡,3,55,北村宏司,1:59.0,クビ,7-6,34.8,42.8,9,476,+4
新潟,,,,曇,良,7,4,7,ヒシルリアン,牡,3,55,戸崎圭太,1:59.2,1.1/4,4-4,35.2,3.6,2,502,+8
新潟,,,,曇,良,8,8,15,ホウオウサンデー,牡,5,58,田辺裕信,1:59.3,3/4,14-13,34.2,20.1,6,448,-2
新潟,,,,曇,良,9,5,9,マイネルデステリョ,牡,6,58,柴田大知,1:59.3,ハナ,11-11,34.6,100.6,10,452,-14
新潟,,,,曇,良,10,6,10,イケイケドンドン,牡,3,55,大野拓弥,1:59.6,1.1/2,13-13,34.4,12.9,5,458,-10
新潟,,,,曇,良,11,8,14,サインオブサクセス,牡,4,58,永野猛蔵,2:00.0,2.1/2,9-9,35.5,173.7,11,470,-8
新潟,,,,曇,良,12,2,2,ナミブ,セ,7,58,杉原誠人,2:00.2,1.1/4,12-12,35.2,299.1,14,462,+2
新潟,,,,曇,良,13,7,12,ラブエスポー,牝,6,56,江田照男,2:01.0,5,15-15,35.2,308.9,15,460,+4
新潟,,,,曇,良,14,5,8,マイネルパリオート,牡,5,58,木幡巧也,2:01.1,3/4,3-3,37.3,177.0,12,468,+6
新潟,,,,曇,良,15,7,13,ユキノオウジサマ,セ,4,58,武士沢友,2:01.5,2.1/2,1-1,38.0,183.9,13,508,-6
