場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,芝,2000,右,晴,良,1,4,5,イングランドアイズ,牝,2,54,横山和生,2:02.9,,5-5-6-6,34.9,12.2,5,432,0
阪神,芝,2000,右,晴,良,2,7,11,ハーパー,牝,2,54,福永祐一,2:02.9,クビ,3-3-3-2,35.2,2.6,1,478,0
阪神,芝,2000,右,晴,良,3,2,2,マテンロウアルテ,牝,2,54,太宰啓介,2:03.0,アタマ,10-10-8-8,34.8,11.6,4,486,0
阪神,芝,2000,右,晴,良,4,5,8,プレドミナル,牡,2,55,岩田望来,2:03.2,1.1/4,7-8-8-12,34.8,3.5,2,470,0
阪神,芝,2000,右,晴,良,5,6,10,ヨリキリ,牡,2,55,和田竜二,2:03.2,ハナ,13-13-11-10,34.8,74.1,11,502,0
阪神,芝,2000,右,晴,良,6,3,3,セレクティオ,牡,2,55,鮫島克駿,2:03.4,1.1/2,3-3-3-4,35.6,7.1,3,490,0
阪神,芝,2000,右,晴,良,7,1,1,ベファーナ,牝,2,54,幸英明,2:03.5,3/4,7-5-6-7,35.4,35.9,8,496,0
阪神,芝,2000,右,晴,良,8,4,6,バレンタインソング,牡,2,55,西村淳也,2:03.9,2.1/2,2-2-2-2,36.2,63.5,9,456,0
阪神,芝,2000,右,晴,良,9,6,9,ヒルノグラスゴー,牡,2,55,横山典弘,2:05.1,7,7-8-8-8,36.9,14.0,6,460,0
阪神,芝,2000,右,晴,良,10,5,7,アンパト,牡,2,53,角田大河,2:05.2,クビ,13-14-14-13,36.4,263.6,14,444,0
阪神,芝,2000,右,晴,良,11,8,13,プロフェッショナル,牝,2,54,岩田康誠,2:05.3,3/4,11-11-11-10,36.9,71.0,10,476,0
阪神,芝,2000,右,晴,良,12,7,12,アプレイザー,牡,2,55,吉田隼人,2:05.3,クビ,5-5-5-4,37.5,149.4,12,426,0
阪神,芝,2000,右,晴,良,13,8,14,テイエムインパクト,牡,2,52,鷲頭虎太,2:06.0,4,11-12-13-13,37.1,220.7,13,546,0
阪神,芝,2000,右,晴,良,14,3,4,タフタドレープ,牝,2,54,坂井瑠星,2:06.2,1.1/4,1-1-1-1,38.6,14.1,7,520,0
