場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,ダート,1400,右,晴,良,1,5,5,ストームバンガード,牡,2,55,水口優也,1:27.1,,3-4,38.8,7.3,3,494,0
阪神,ダート,1400,右,晴,良,2,1,1,エイシンロッキー,牡,2,55,荻野琢真,1:27.4,1.3/4,7-7,38.7,9.2,6,486,0
阪神,ダート,1400,右,晴,良,3,7,7,サンピアノソナタ,牝,2,52,永島まな,1:27.8,2.1/2,3-2,39.7,7.6,5,456,0
阪神,ダート,1400,右,晴,良,4,6,6,プリンセスカレン,牝,2,52,田口貫太,1:27.9,1/2,2-2,39.9,7.4,4,418,0
阪神,ダート,1400,右,晴,良,5,2,2,グランエシェゾー,牝,2,55,幸英明,1:28.0,3/4,6-5,39.5,2.8,1,486,0
阪神,ダート,1400,右,晴,良,6,3,3,ビーコング,牡,2,52,西塚洸二,1:28.5,2.1/2,1-1,40.8,40.6,8,494,0
阪神,ダート,1400,右,晴,良,7,4,4,ウーナグローリア,牝,2,55,藤岡康太,1:29.4,5,5-5,41.0,3.6,2,444,0
阪神,ダート,1400,右,晴,良,8,8,8,トウコンリュウジン,牡,2,55,池添謙一,1:30.7,8,8-8,39.1,29.0,7,466,0
