場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
東京,ダート,2100,左,晴,重,1,6,10,ウシュバテソーロ,牡,5,57,横山和生,2:08.1,,13-13-13-12,34.0,15.6,7,522,-2
東京,ダート,2100,左,晴,重,2,6,9,ペプチドナイル,牡,4,57,武豊,2:08.8,4,5-5-5-5,35.5,3.2,1,526,+2
東京,ダート,2100,左,晴,重,3,1,1,メイショウフンジン,牡,4,57,酒井学,2:09.0,1,1-1-1-1,36.0,9.2,4,508,-2
東京,ダート,2100,左,晴,重,4,4,5,ナリタフォルテ,牡,4,57,岩田望来,2:09.4,2.1/2,6-6-5-5,36.0,37.7,11,574,-10
東京,ダート,2100,左,晴,重,5,7,11,シュルードアイズ,牡,4,57,津村明秀,2:09.5,クビ,10-10-9-9,35.8,24.1,8,514,-2
東京,ダート,2100,左,晴,重,6,8,14,ヴィアメント,セ,5,57,ルメール,2:09.7,1.1/4,8-7-5-8,36.2,4.8,3,480,-8
東京,ダート,2100,左,晴,重,7,4,6,ホウオウエーデル,牡,6,57,レーン,2:09.8,3/4,8-9-5-5,36.4,14.3,6,502,+10
東京,ダート,2100,左,晴,重,8,5,8,アイファーキングズ,牡,6,57,内田博幸,2:09.8,アタマ,4-4-2-2,36.6,50.1,12,508,-4
東京,ダート,2100,左,晴,重,9,5,7,ラヴォラーレ,牡,4,57,田辺裕信,2:10.1,1.3/4,10-10-11-9,36.4,4.1,2,530,+8
東京,ダート,2100,左,晴,重,10,7,12,ダッチマン,セ,5,57,菅原明良,2:10.1,ハナ,13-13-11-11,36.2,27.0,9,466,+2
東京,ダート,2100,左,晴,重,11,8,13,ベルジュネス,セ,6,57,永野猛蔵,2:10.6,3.1/2,12-12-13-14,36.4,69.9,13,472,+8
東京,ダート,2100,左,晴,重,12,3,4,コパノリッチマン,牡,5,57,戸崎圭太,2:10.9,1.3/4,7-7-9-12,36.9,31.7,10,514,-4
東京,ダート,2100,左,晴,重,13,2,2,ミステリオーソ,牡,5,57,鮫島克駿,2:11.7,5,2-2-2-2,38.5,14.2,5,486,+4
東京,ダート,2100,左,晴,重,14,3,3,デッドアヘッド,セ,6,57,大野拓弥,2:13.0,8,3-2-2-2,39.8,96.7,14,466,-4
