場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
函館,ダート,1700,右,曇,重,1,3,3,ビジン,牝,3,52,池添謙一,1:44.3,,3-3-2-2,36.8,2.6,1,462,-2
函館,ダート,1700,右,曇,重,2,8,10,リファインドマナー,牝,4,55,川又賢治,1:44.6,1.3/4,2-2-2-2,37.1,6.3,4,450,-8
函館,ダート,1700,右,曇,重,3,8,9,メイショウイッコン,牝,4,55,菱田裕二,1:44.8,1.1/4,5-6-4-4,37.1,3.4,2,472,+10
函館,ダート,1700,右,曇,重,4,7,7,ダイナストーン,牝,4,55,武豊,1:44.8,ハナ,1-1-1-1,37.4,5.4,3,534,-4
函館,ダート,1700,右,曇,重,5,4,4,タイトロープウィン,牝,6,55,勝浦正樹,1:44.9,1/2,4-4-4-5,37.2,27.8,7,450,+2
函館,ダート,1700,右,曇,重,6,1,1,サンキーウエスト,牝,5,55,浜中俊,1:45.4,3,7-6-7-6,37.4,11.8,5,456,+6
函館,ダート,1700,右,曇,重,7,5,5,ペイルライダー,牝,4,55,岩田康誠,1:45.4,ハナ,10-10-10-9,36.8,39.4,8,482,-4
函館,ダート,1700,右,曇,重,8,2,2,メイショウハナモモ,牝,4,55,古川吉洋,1:45.9,3,5-4-4-6,38.2,45.2,9,470,+2
函館,ダート,1700,右,曇,重,9,7,8,アルヴェント,牝,5,55,柴山雄一,1:46.0,クビ,9-9-7-6,38.0,75.0,10,500,+4
函館,ダート,1700,右,曇,重,10,6,6,エイカイステラ,牝,4,55,松田大作,1:47.6,10,7-8-9-10,39.5,14.7,6,452,-8
