場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,ダート,1800,右,晴,良,1,8,15,ディパッセ,牡,3,53,川田将雅,1:52.7,,1-1-1-1,37.9,4.6,2,484,+10
阪神,ダート,1800,右,晴,良,2,5,8,ブラックヘイロー,セ,6,56,ルメール,1:52.7,クビ,2-2-2-2,37.7,13.9,7,494,-22
阪神,ダート,1800,右,晴,良,3,7,12,メイショウミカワ,牡,4,54,武豊,1:53.0,2,13-14-14-12,36.8,12.2,5,486,0
阪神,ダート,1800,右,晴,良,4,3,5,ゴールドハイアー,牡,4,55,松山弘平,1:53.2,1,8-8-7-6,37.8,3.2,1,486,-8
阪神,ダート,1800,右,晴,良,5,7,13,ロッキーサンダー,牡,5,55,角田大河,1:53.2,ハナ,11-12-7-10,37.7,6.9,4,480,0
阪神,ダート,1800,右,晴,良,6,6,11,ビジン,牝,3,51,富田暁,1:53.7,3,8-8-7-6,38.3,17.0,8,466,+2
阪神,ダート,1800,右,晴,良,7,4,7,ヒロノシュン,セ,3,53,和田竜二,1:53.8,クビ,6-7-4-3,38.6,12.3,6,502,+10
阪神,ダート,1800,右,晴,良,8,2,3,サステナブル,牡,4,54,幸英明,1:53.9,1/2,6-4-12-12,37.9,38.7,12,514,+2
阪神,ダート,1800,右,晴,良,9,8,14,クリノホノオ,牡,5,55,藤岡康太,1:54.0,3/4,4-4-3-3,39.0,42.5,13,486,-4
阪神,ダート,1800,右,晴,良,10,5,9,サンライズシェリー,牡,5,54,吉田隼人,1:54.0,ハナ,4-4-4-6,38.8,37.8,10,492,-2
阪神,ダート,1800,右,晴,良,11,2,2,メガゴールド,牡,4,54,酒井学,1:54.0,クビ,8-11-12-11,38.2,38.6,11,520,-2
阪神,ダート,1800,右,晴,良,12,4,6,リバプールタウン,牡,7,55,坂井瑠星,1:54.2,3/4,2-2-7-14,38.3,37.4,9,492,-8
阪神,ダート,1800,右,晴,良,13,6,10,ベルジュネス,セ,6,53,松岡正海,1:54.5,2,15-15-15-15,37.9,174.8,15,476,+2
阪神,ダート,1800,右,晴,良,14,1,1,テイエムベンチャー,牡,4,55,国分恭介,1:54.7,1.1/4,13-8-6-6,39.3,6.6,3,520,0
阪神,ダート,1800,右,晴,良,15,3,4,ナンヨープランタン,牡,7,55,池添謙一,1:55.7,6,12-12-7-3,40.3,93.4,14,456,+2
