場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,芝,1200,右,晴,良,1,6,11,ドランクマン,牡,3,57,坂井瑠星,1:08.7,,6-5,34.3,3.0,1,452,+2
京都,芝,1200,右,晴,良,2,7,15,シャドフ,牝,3,55,Ｍ．デム,1:08.8,1/2,4-5,34.5,6.6,4,452,+2
京都,芝,1200,右,晴,良,3,7,14,キルケロッソ,牝,3,54,秋山稔樹,1:08.9,1/2,2-2,34.8,54.2,11,446,+4
京都,芝,1200,右,晴,良,4,8,16,スピークイージー,牡,3,53,河原田菜,1:08.9,クビ,1-1,35.0,32.8,9,494,+24
京都,芝,1200,右,晴,良,5,4,7,リーサムギニー,牡,3,57,松山弘平,1:09.0,クビ,11-10,34.4,19.5,7,490,-8
京都,芝,1200,右,晴,良,6,1,2,エクストラドライ,牡,3,57,岩田望来,1:09.0,クビ,9-8,34.5,6.0,3,472,-4
京都,芝,1200,右,晴,良,7,2,3,ラグリマスマリア,牝,3,55,幸英明,1:09.2,1,4-3,35.0,22.9,8,452,+8
京都,芝,1200,右,晴,良,8,5,10,チェリアーナ,牡,3,57,和田竜二,1:09.2,クビ,14-12,34.3,52.9,10,518,-6
京都,芝,1200,右,晴,良,9,5,9,マーメイド,牝,3,54,田口貫太,1:09.2,ハナ,2-3,35.0,14.9,6,444,-2
京都,芝,1200,右,晴,良,10,1,1,プルミエプランタン,牡,3,57,松若風馬,1:09.2,ハナ,17-17,33.8,8.5,5,484,-8
京都,芝,1200,右,晴,良,11,3,6,リプレット,牝,3,54,小沢大仁,1:09.3,クビ,6-5,34.9,69.7,14,408,+10
京都,芝,1200,右,晴,良,12,8,17,エガオニナッテ,牝,3,53,永島まな,1:09.5,1,6-8,35.0,5.1,2,436,+2
京都,芝,1200,右,晴,良,13,6,12,カフジレニウム,牝,3,55,国分恭介,1:09.7,1.1/4,15-14,34.5,498.5,18,400,-5
京都,芝,1200,右,晴,良,14,8,18,ホーギー,牡,3,54,吉村誠之,1:09.7,クビ,11-12,35.0,55.4,12,472,-6
京都,芝,1200,右,晴,良,15,2,4,ダイメイコスズ,牡,3,57,藤懸貴志,1:09.7,クビ,17-17,34.3,193.9,15,458,-8
京都,芝,1200,右,晴,良,16,7,13,ムーンセット,牝,3,53,西塚洸二,1:10.2,3,13-14,35.2,224.4,16,442,+8
京都,芝,1200,右,晴,良,17,4,8,クリノローレライ,牝,3,54,角田大和,1:10.8,3.1/2,9-10,36.2,406.3,17,434,+4
京都,芝,1200,右,晴,良,18,3,5,ロードトワイライト,牡,3,57,西村淳也,1:11.0,3/4,15-16,35.8,56.1,13,490,0
