場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,ダート,1400,右,曇,良,1,5,5,ヒルノドゴール,牡,4,58,岩田康誠,1:25.0,,8-6,36.8,3.4,2,518,-4
京都,ダート,1400,右,曇,良,2,8,11,ルディック,牡,4,58,北村友一,1:25.4,2.1/2,4-4,37.7,4.7,3,530,0
京都,ダート,1400,右,曇,良,3,7,9,セントラルヴァレー,牡,4,58,荻野極,1:25.5,1/2,4-4,37.6,6.6,4,482,-2
京都,ダート,1400,右,曇,良,4,5,6,ホウオウフロイト,牡,4,57,高杉吏麒,1:25.8,1.3/4,12-11,36.8,17.9,6,444,-2
京都,ダート,1400,右,曇,良,5,8,12,サザーランド,牝,5,56,池添謙一,1:25.9,1/2,3-2,38.2,3.1,1,466,+4
京都,ダート,1400,右,曇,良,6,7,10,スタボーンイメル,牡,5,58,太宰啓介,1:26.5,3.1/2,11-10,37.8,185.5,12,518,+4
京都,ダート,1400,右,曇,良,7,2,2,プルートマスター,牡,6,57,田口貫太,1:26.7,1.1/4,2-1,39.2,8.9,5,496,-4
京都,ダート,1400,右,曇,良,8,3,3,アイズ,牡,4,55,鷲頭虎太,1:26.7,クビ,1-2,39.2,55.1,8,506,+4
京都,ダート,1400,右,曇,良,9,1,1,ルージュイストリア,牝,5,56,川須栄彦,1:26.8,1/2,8-7,38.7,56.8,9,478,+8
京都,ダート,1400,右,曇,良,10,6,8,トモジャケーヤ,牡,5,57,西塚洸二,1:27.3,2.1/2,10-12,38.6,20.6,7,526,+8
京都,ダート,1400,右,曇,良,11,6,7,レオスパーク,牡,4,58,中井裕二,1:27.3,クビ,6-7,39.2,62.8,10,510,0
京都,ダート,1400,右,曇,良,12,4,4,ヴィアドロローサ,牡,6,58,富田暁,1:28.6,8,6-9,40.6,148.2,11,448,0
