場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,ダート,1800,右,曇,良,1,2,3,ロードアヴニール,牡,3,57,団野大成,1:54.1,,5-6-7-7,37.7,2.1,1,492,+2
阪神,ダート,1800,右,曇,良,2,7,13,トゥルブレンシア,セ,6,58,酒井学,1:54.4,1.3/4,5-5-6-4,38.1,40.1,9,458,0
阪神,ダート,1800,右,曇,良,3,8,15,カズロレアート,牡,5,58,斎藤新,1:54.5,クビ,8-9-9-7,37.9,27.6,8,486,+2
阪神,ダート,1800,右,曇,良,4,6,11,グローツラング,牡,4,58,藤岡佑介,1:54.7,1.1/4,15-15-16-11,37.4,14.2,4,534,-2
阪神,ダート,1800,右,曇,良,5,7,14,シュガーコルト,セ,4,58,小崎綾也,1:54.7,クビ,10-11-3-3,38.7,168.4,13,510,+10
阪神,ダート,1800,右,曇,良,6,8,16,シンヨモギネス,牡,5,58,鮫島克駿,1:54.7,ハナ,13-13-15-15,37.4,26.5,7,480,+4
阪神,ダート,1800,右,曇,良,7,3,5,サトミノマロン,牡,4,58,横山典弘,1:54.7,ハナ,3-3-4-4,38.5,12.6,3,530,0
阪神,ダート,1800,右,曇,良,8,4,7,バリアントバイオ,牡,3,57,和田竜二,1:54.7,ハナ,8-8-10-10,38.0,2.5,2,518,+2
阪神,ダート,1800,右,曇,良,9,1,2,トーアシオン,セ,7,58,富田暁,1:55.0,1.1/2,13-13-13-11,37.9,19.7,6,470,-8
阪神,ダート,1800,右,曇,良,10,5,10,マイネルシトラス,牡,4,58,角田大河,1:55.3,1.1/2,2-2-2-1,39.5,135.3,12,530,+4
阪神,ダート,1800,右,曇,良,11,3,6,スズカワールド,牡,4,58,田口貫太,1:55.4,3/4,5-6-7-7,38.9,214.2,14,524,0
阪神,ダート,1800,右,曇,良,12,2,4,ワールドハート,牡,4,58,長岡禎仁,1:55.9,3,10-11-12-11,38.9,337.6,15,454,-4
阪神,ダート,1800,右,曇,良,13,1,1,エクストラノート,セ,6,58,岩田康誠,1:56.0,1/2,10-9-10-15,39.1,71.4,10,482,0
阪神,ダート,1800,右,曇,良,14,4,8,サイモンメガライズ,牡,5,58,亀田温心,1:56.1,3/4,16-16-13-11,38.9,447.5,16,510,+4
阪神,ダート,1800,右,曇,良,15,6,12,フィンガークリック,牝,3,55,西村淳也,1:56.7,3.1/2,3-3-4-4,40.5,126.1,11,508,-2
阪神,ダート,1800,右,曇,良,16,5,9,ニットウライジン,牡,3,57,池添謙一,1:56.8,クビ,1-1-1-2,41.0,17.8,5,500,-6
