場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,芝,1200,右,晴,良,1,1,1,オベイユアマスター,牡,2,56,古川吉洋,1:09.5,,5-5,35.0,3.1,1,442,0
阪神,芝,1200,右,晴,良,2,3,3,ナムラローズマリー,牝,2,55,藤岡康太,1:09.6,3/4,8-5,34.8,3.7,3,436,-12
阪神,芝,1200,右,晴,良,3,5,8,ステイチューンド,牡,2,56,ムルザバ,1:10.0,2.1/2,6-5,35.2,3.5,2,448,+4
阪神,芝,1200,右,晴,良,4,4,5,ニシノミニョンヌ,牝,2,55,横山武史,1:10.2,1,10-9,35.1,10.8,4,404,0
阪神,芝,1200,右,晴,良,5,4,6,ウエルカムキリシマ,牝,2,55,団野大成,1:10.5,1.3/4,8-8,35.7,97.6,8,452,+10
阪神,芝,1200,右,晴,良,6,7,12,テンドウ,牡,2,56,Ｍ．デム,1:10.5,クビ,3-2,36.0,19.1,7,468,-8
阪神,芝,1200,右,晴,良,7,2,2,イズジョーゴモリー,牝,2,52,永島まな,1:10.5,アタマ,2-2,36.2,222.1,12,446,+2
阪神,芝,1200,右,晴,良,8,6,10,ヴェッターホルン,牡,2,56,松岡正海,1:10.6,クビ,13-12,35.1,103.4,9,454,-4
阪神,芝,1200,右,晴,良,9,5,7,オレンジサファイア,牝,2,55,岩田望来,1:10.7,3/4,3-2,36.3,12.8,5,474,-2
阪神,芝,1200,右,晴,良,10,6,9,プレザントウインド,牝,2,55,西村淳也,1:10.7,アタマ,12-12,35.2,205.2,11,392,+6
阪神,芝,1200,右,晴,良,11,8,13,ミッキージャスミン,牝,2,55,松山弘平,1:10.9,1.1/4,1-1,36.7,16.0,6,442,-8
阪神,芝,1200,右,晴,良,12,7,11,メイショウノワキ,牝,2,55,城戸義政,1:11.1,1,10-11,36.0,626.8,13,436,-2
阪神,芝,1200,右,晴,良,13,8,14,ラストフロンティア,牡,2,54,田口貫太,1:11.1,クビ,7-9,36.2,114.8,10,428,+2
阪神,芝,1200,右,晴,良,取,3,4,ライズタイガ,牡,2,56,北村宏司,,,,,---,,,
