場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
札幌,ダート,1000,右,曇,不良,1,8,11,テイエムタリスマ,牡,3,53,古川奈穂,0:58.9,,2-1,35.5,4.0,1,468,-2
札幌,ダート,1000,右,曇,不良,2,3,3,スキーサンダー,牝,3,55,ルメール,0:59.0,3/4,6-6,35.3,4.4,2,476,+2
札幌,ダート,1000,右,曇,不良,3,7,10,ミスターディジェイ,牡,3,57,丹内祐次,0:59.2,3/4,2-2,35.8,4.4,3,540,+2
札幌,ダート,1000,右,曇,不良,4,8,12,キャンドルマス,牡,3,57,北村友一,0:59.3,1/2,5-4,35.8,10.0,5,478,-10
札幌,ダート,1000,右,曇,不良,5,4,4,ラントゥリーダンス,牝,3,52,川端海翼,0:59.3,ハナ,7-7,35.4,10.7,6,460,0
札幌,ダート,1000,右,曇,不良,6,5,6,ユニヴェールアン,牝,3,55,鮫島克駿,0:59.5,1,2-4,36.1,27.7,10,482,+6
札幌,ダート,1000,右,曇,不良,7,5,5,ウィスピースノー,牝,3,54,角田大河,0:59.6,1,9-9,35.4,23.6,9,440,+6
札幌,ダート,1000,右,曇,不良,8,1,1,リンクスクードボル,牡,3,57,西村淳也,0:59.8,1,7-7,35.8,15.1,7,474,+4
札幌,ダート,1000,右,曇,不良,9,7,9,モリエヌス,牝,3,52,高杉吏麒,1:00.1,2,10-10,35.7,48.6,11,392,+2
札幌,ダート,1000,右,曇,不良,10,6,8,ドルフィンスクエア,牝,3,52,長浜鴻緒,1:00.4,1.1/2,11-10,35.9,16.7,8,448,0
札幌,ダート,1000,右,曇,不良,11,6,7,タカラバディウス,牝,3,53,小林勝太,1:00.8,2.1/2,1-2,37.5,8.0,4,420,0
札幌,ダート,1000,右,曇,不良,12,2,2,ズーキャンベラ,牝,3,54,佐々木大,1:02.7,大,12-12,36.0,126.8,12,460,-6
