場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中山,芝,2000,右,曇,良,1,8,17,スリーエクスプレス,牡,3,56,横山武史,2:04.1,,8-5-3-3,37.0,2.6,1,486,+2
中山,芝,2000,右,曇,良,2,7,13,マイネルメサイア,牡,3,56,戸崎圭太,2:04.2,クビ,3-3-2-2,37.2,5.9,3,458,0
中山,芝,2000,右,曇,良,3,2,3,ルールオブルーラー,牡,3,56,Ｍ．デム,2:04.5,1.3/4,6-7-7-7,36.9,34.1,8,562,-4
中山,芝,2000,右,曇,良,4,5,10,ノーティアス,牡,3,56,鮫島克駿,2:04.5,クビ,12-12-13-14,36.5,300.0,14,514,+4
中山,芝,2000,右,曇,良,5,5,9,ローゼシュティア,牝,3,54,三浦皇成,2:04.5,ハナ,6-8-7-7,36.9,4.0,2,458,+10
中山,芝,2000,右,曇,良,6,1,1,フィルクローバー,牝,3,54,柴田大知,2:04.6,3/4,8-9-9-9,36.9,139.7,12,482,+4
中山,芝,2000,右,曇,良,7,7,14,ララパラプリュイ,牝,3,54,津村明秀,2:04.7,クビ,5-5-6-4,37.3,95.4,11,450,+6
中山,芝,2000,右,曇,良,8,2,4,ポッドヴァイン,牡,3,56,石川裕紀,2:04.8,1/2,12-12-13-13,36.8,20.1,6,420,+4
中山,芝,2000,右,曇,良,9,4,7,レーヴディノエル,牝,3,54,ルメール,2:04.8,クビ,8-10-10-9,36.9,6.7,4,480,-2
中山,芝,2000,右,曇,良,10,8,16,リュウバター,牡,3,56,江田照男,2:05.0,1.1/4,15-15-15-15,36.8,604.8,16,486,-8
中山,芝,2000,右,曇,良,11,4,8,ユキアカリ,牝,3,54,黛弘人,2:05.0,アタマ,4-3-3-4,37.8,22.8,7,436,+10
中山,芝,2000,右,曇,良,12,3,5,エイシンブギーマン,牡,3,56,坂井瑠星,2:05.4,2.1/2,2-2-1-1,38.5,8.5,5,496,-2
中山,芝,2000,右,曇,良,13,6,12,ダイゴシンリュウ,牡,3,56,斎藤新,2:05.5,3/4,8-10-10-9,37.7,46.7,9,436,0
中山,芝,2000,右,曇,良,14,3,6,ビレッジライナー,牡,3,56,大野拓弥,2:05.6,クビ,12-12-10-9,37.7,188.0,13,482,0
中山,芝,2000,右,曇,良,15,6,11,ブラックアピール,牝,3,54,菅原明良,2:05.6,クビ,16-16-15-15,37.4,57.2,10,450,-6
中山,芝,2000,右,曇,良,16,8,15,ホワイトエーレ,牡,3,53,原優介,2:06.1,3,17-17-17-17,37.6,621.0,17,426,+2
中山,芝,2000,右,曇,良,17,1,2,リキノキセキ,牝,3,51,小林凌大,2:08.2,大,1-1-3-4,41.0,475.9,15,372,+2
