場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
札幌,ダート,1700,右,曇,良,1,7,12,グローバルブラッド,牡,3,54,横山琉人,1:47.3,,4-4-3-3,36.9,5.2,2,486,-10
札幌,ダート,1700,右,曇,良,2,4,5,カイザーレオン,牡,3,56,横山和生,1:47.6,2,6-7-2-2,37.4,2.7,1,454,-2
札幌,ダート,1700,右,曇,良,3,8,13,エピファニアペスカ,牝,3,51,鷲頭虎太,1:48.1,3,10-9-6-4,37.3,5.5,3,462,-4
札幌,ダート,1700,右,曇,良,4,6,10,アイレ,牝,3,54,丸山元気,1:48.4,1.1/2,1-1-1-1,38.4,10.5,7,476,+4
札幌,ダート,1700,右,曇,良,5,3,4,フェデフルール,牝,3,54,荻野琢真,1:48.5,3/4,2-2-3-4,38.0,176.0,12,440,-8
札幌,ダート,1700,右,曇,良,6,1,1,モロキニムーン,牡,3,56,吉田隼人,1:48.9,2.1/2,8-7-9-7,37.9,9.8,5,508,+4
札幌,ダート,1700,右,曇,良,7,5,7,クリノソプラノ,牝,3,52,小林凌大,1:49.0,3/4,12-12-11-7,37.9,158.7,11,468,-2
札幌,ダート,1700,右,曇,良,8,3,3,レオプレシード,牡,3,56,丹内祐次,1:49.1,クビ,4-4-6-6,38.4,7.5,4,512,-2
札幌,ダート,1700,右,曇,良,9,4,6,セイウンマリンガー,牝,3,53,秋山稔樹,1:49.2,1,12-12-12-12,38.0,10.0,6,416,+2
札幌,ダート,1700,右,曇,良,10,2,2,エティエンヌ,セ,3,53,西塚洸二,1:49.3,クビ,8-9-14-12,37.9,47.1,9,514,0
札幌,ダート,1700,右,曇,良,11,7,11,メイショウヒシャ,牡,3,53,大久保友,1:49.3,ハナ,2-2-5-11,38.7,226.2,13,524,+2
札幌,ダート,1700,右,曇,良,12,8,14,ブラックオパール,牝,3,53,泉谷楓真,1:49.6,1.3/4,11-9-9-9,38.6,127.3,10,484,-6
札幌,ダート,1700,右,曇,良,13,6,9,モーゲン,牡,3,56,古川吉洋,1:51.2,10,12-12-12-14,39.9,230.6,14,442,+4
札幌,ダート,1700,右,曇,良,14,5,8,レアルタッド,牡,3,56,斎藤新,1:51.3,1/2,6-6-6-9,40.6,28.6,8,496,0
