場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
小倉,芝,1200,右,晴,稍重,1,7,11,バンデルオーラ,牡,4,56,国分恭介,1:08.2,,10-9,34.1,16.1,8,470,0
小倉,芝,1200,右,晴,稍重,2,8,13,タツリュウオー,牝,5,53,団野大成,1:08.3,クビ,7-7,34.5,18.5,9,462,+6
小倉,芝,1200,右,晴,稍重,3,4,5,グランレイ,牡,6,57,藤懸貴志,1:08.3,クビ,12-12,33.7,15.2,6,464,-8
小倉,芝,1200,右,晴,稍重,4,5,7,ショウナンハクラク,牡,4,56,松若風馬,1:08.3,アタマ,4-6,34.7,11.2,5,472,+4
小倉,芝,1200,右,晴,稍重,5,4,4,メイショウエニシア,牝,5,53,泉谷楓真,1:08.5,3/4,1-1,35.5,19.0,10,454,0
小倉,芝,1200,右,晴,稍重,6,2,2,ブレスレスリー,牝,4,55,藤岡康太,1:08.7,1.1/4,4-3,35.1,7.8,3,472,-4
小倉,芝,1200,右,晴,稍重,7,8,12,トーホウディアス,牡,5,56,和田竜二,1:08.7,ハナ,9-9,34.8,9.5,4,458,0
小倉,芝,1200,右,晴,稍重,8,6,8,エグレムニ,牡,6,56,川須栄彦,1:08.7,クビ,10-11,34.6,32.0,12,508,0
小倉,芝,1200,右,晴,稍重,9,6,9,ビアイ,牝,6,54,国分優作,1:08.8,クビ,4-3,35.2,25.9,11,518,+4
小倉,芝,1200,右,晴,稍重,10,3,3,メイショウツツジ,牝,5,52,酒井学,1:08.8,クビ,12-12,34.2,53.4,13,430,-2
小倉,芝,1200,右,晴,稍重,11,1,1,セリシア,牝,5,54,岩田望来,1:09.0,1,7-7,35.3,15.6,7,472,+2
小倉,芝,1200,右,晴,稍重,12,7,10,メイショウソラフネ,牡,4,56,角田大河,1:09.0,クビ,2-3,35.6,2.8,1,452,+8
小倉,芝,1200,右,晴,稍重,13,5,6,アネゴハダ,牝,4,56,幸英明,1:09.5,3,2-2,36.2,5.2,2,454,0
