場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,,,,晴,良,1,8,9,サジェス,牡,5,58,団野大成,2:13.8,,7-7-6-5,33.8,8.6,5,454,+4
京都,,,,晴,良,2,3,3,ジェンヌ,牝,4,56,ルメール,2:13.8,クビ,9-8-9-8,33.6,6.6,4,424,+4
京都,,,,晴,良,3,8,10,イヤサカ,牝,5,56,酒井学,2:13.9,1/2,1-1-1-1,34.5,27.4,6,484,-8
京都,,,,晴,良,4,1,1,ゲーテローズ,牝,4,56,吉田隼人,2:14.0,1/2,3-3-4-3,34.3,5.1,2,442,+10
京都,,,,晴,良,5,6,6,リアド,牡,4,58,川田将雅,2:14.0,クビ,3-3-4-5,34.2,1.9,1,480,-6
京都,,,,晴,良,6,2,2,ダノンターキッシュ,牡,5,58,松山弘平,2:14.0,ハナ,10-10-3-3,34.4,6.3,3,458,+2
京都,,,,晴,良,7,4,4,ピノクル,牡,7,58,浜中俊,2:14.1,1/2,8-8-10-10,33.8,34.2,8,490,-6
京都,,,,晴,良,8,5,5,ブルーゲート,牝,4,56,今村聖奈,2:14.3,1.1/4,5-5-6-8,34.2,30.4,7,434,0
京都,,,,晴,良,9,7,8,キボウノダイチ,セ,8,58,田中健,2:14.8,3,2-2-2-2,35.3,124.0,9,502,+4
京都,,,,晴,良,10,7,7,マイネルステレール,牡,7,58,国分優作,2:14.9,クビ,5-5-6-7,34.9,224.7,10,486,-4
