場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
阪神,ダート,1800,右,晴,良,1,3,6,ラインオブソウル,牡,4,55,松若風馬,1:52.2,,7-7-4-4,37.4,26.0,9,518,-8
阪神,ダート,1800,右,晴,良,2,8,16,グーデンドラーク,牡,4,56,ムルザバ,1:52.2,ハナ,2-2-1-1,37.9,10.3,3,528,+2
阪神,ダート,1800,右,晴,良,3,1,2,サンライズアリオン,牡,4,57,松山弘平,1:52.6,2,3-3-4-4,38.0,5.1,2,526,+4
阪神,ダート,1800,右,晴,良,4,1,1,キュールエフウジン,牡,4,57,藤岡佑介,1:52.8,1.1/4,16-16-16-16,36.6,22.7,8,496,+6
阪神,ダート,1800,右,晴,良,5,2,3,メイショウモズ,牡,3,56,幸英明,1:53.0,1.1/4,5-5-6-6,38.1,16.0,6,506,+6
阪神,ダート,1800,右,晴,良,6,7,13,アウトレンジ,牡,3,56,坂井瑠星,1:53.0,ハナ,1-1-2-2,38.6,1.7,1,492,0
阪神,ダート,1800,右,晴,良,7,2,4,サンタグラシア,牝,5,53,斎藤新,1:53.1,1/2,8-10-11-10,37.5,261.3,14,422,+4
阪神,ダート,1800,右,晴,良,8,4,8,レイクリエイター,牡,5,54,角田大河,1:53.3,1.1/4,15-14-14-12,37.4,412.7,16,480,0
阪神,ダート,1800,右,晴,良,9,4,7,マルブツプライド,牡,4,55,団野大成,1:53.4,1/2,8-8-9-7,38.3,17.4,7,540,0
阪神,ダート,1800,右,晴,良,10,7,14,セイクリッドゲイズ,セ,5,56,岩田望来,1:53.4,クビ,12-13-11-10,37.8,13.2,4,494,-2
阪神,ダート,1800,右,晴,良,11,6,11,タガノエスコート,牡,4,57,和田竜二,1:53.6,1.1/4,3-4-3-2,39.0,14.2,5,500,0
阪神,ダート,1800,右,晴,良,12,3,5,コパノニコルソン,牡,4,57,藤岡康太,1:53.6,アタマ,12-11-11-12,37.9,65.6,10,536,+4
阪神,ダート,1800,右,晴,良,13,5,9,エルソール,牝,5,52,荻野極,1:53.8,1.1/4,14-14-14-12,37.9,99.5,11,442,-10
阪神,ダート,1800,右,晴,良,14,6,12,クインズバジル,牝,5,53,古川吉洋,1:54.0,3/4,11-11-9-7,38.7,146.8,12,484,-2
阪神,ダート,1800,右,晴,良,15,8,15,セレッソ,牝,4,53,モリス,1:54.0,アタマ,8-8-6-9,38.8,151.6,13,466,-10
阪神,ダート,1800,右,晴,良,16,5,10,スズカトップバゴ,セ,5,54,太宰啓介,2:00.2,大,5-5-6-15,44.9,319.8,15,468,+10
