場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,芝,2000,左,晴,良,1,3,3,アイザックバローズ,牡,3,56,坂井瑠星,2:00.6,,6-6-6-6,35.3,2.2,1,468,-4
中京,芝,2000,左,晴,良,2,1,1,コパノサントス,牡,3,56,岩田望来,2:01.1,2.1/2,7-7-7-7,35.7,16.0,6,466,+2
中京,芝,2000,左,晴,良,3,8,8,ニホンピロキーフ,牡,3,56,吉田隼人,2:01.3,1.1/4,3-3-3-3,36.5,3.1,2,468,+4
中京,芝,2000,左,晴,良,4,5,5,カースソーサラー,牡,3,56,松山弘平,2:01.7,2.1/2,2-2-2-2,37.1,8.3,4,502,-2
中京,芝,2000,左,晴,良,5,6,6,ヨシノクラウン,牡,3,56,ムルザバ,2:02.0,1.3/4,5-5-5-5,36.9,4.4,3,478,+2
中京,芝,2000,左,晴,良,6,4,4,シゲルオトコギ,牡,3,56,和田竜二,2:02.1,クビ,3-3-4-4,37.1,12.4,5,498,-4
中京,芝,2000,左,晴,良,7,7,7,リョウライライ,牡,3,56,国分優作,2:04.4,大,8-8-8-8,38.4,170.4,8,500,0
中京,芝,2000,左,晴,良,8,2,2,ヴァレーニュ,牡,3,56,鮫島良太,2:07.1,大,1-1-1-1,42.6,141.3,7,494,-6
