場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
東京,ダート,1600,左,曇,良,1,5,5,アイファーエポック,牡,5,55,野中悠太,1:37.1,,10-8,36.5,12.8,8,482,-2
東京,ダート,1600,左,曇,良,2,8,11,ファイヴレター,牡,7,54,大野拓弥,1:37.2,1/2,11-11,36.4,33.8,10,482,0
東京,ダート,1600,左,曇,良,3,7,10,ロミオボス,牡,4,56,西村淳也,1:37.4,1.1/4,6-6,37.1,5.7,2,488,+4
東京,ダート,1600,左,曇,良,4,7,9,ララエフォール,牡,5,55,菅原明良,1:37.4,クビ,12-12,36.0,7.8,4,498,+8
東京,ダート,1600,左,曇,良,5,8,12,ロイヤルダンス,牡,6,54,オシェア,1:37.6,1,2-2,38.1,33.2,9,510,+4
東京,ダート,1600,左,曇,良,6,4,4,メイトースイ,牡,4,55,岩田望来,1:37.6,ハナ,6-8,37.0,8.2,5,424,-4
東京,ダート,1600,左,曇,良,7,6,7,モズタンジロウ,牡,5,55,鮫島克駿,1:37.7,1,6-7,37.3,9.2,6,490,+2
東京,ダート,1600,左,曇,良,8,6,8,ユイノイチゲキ,牡,4,55,田辺裕信,1:38.0,2,1-1,38.5,11.3,7,506,+6
東京,ダート,1600,左,曇,良,9,5,6,メイショウラナキラ,牡,5,56,池添謙一,1:38.1,クビ,3-3,38.2,6.2,3,458,-6
東京,ダート,1600,左,曇,良,10,2,2,ピックアップライン,牡,4,56,松岡正海,1:38.1,ハナ,4-4,37.9,3.9,1,522,+2
東京,ダート,1600,左,曇,良,11,1,1,ヒヤ,牡,6,53,永野猛蔵,1:38.6,3,9-8,38.0,191.7,12,476,+12
東京,ダート,1600,左,曇,良,12,3,3,マイネルシトラス,牡,5,55,石川裕紀,1:38.7,クビ,4-4,38.6,105.2,11,528,+2
