場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,ダート,1400,右,曇,良,1,6,12,オリージネアリア,牝,2,55,Ｍ．デム,1:26.1,,8-5,37.7,6.3,3,428,-2
京都,ダート,1400,右,曇,良,2,2,4,ナリタヒカリ,牝,2,55,国分恭介,1:26.3,3/4,11-9,37.6,28.2,9,428,-4
京都,ダート,1400,右,曇,良,3,8,16,スマートイザナミ,牝,2,54,田口貫太,1:27.0,4,8-6,38.6,92.1,10,446,0
京都,ダート,1400,右,曇,良,4,7,13,チムニーパイプ,牝,2,53,高杉吏麒,1:27.1,クビ,11-9,38.4,14.8,7,420,+4
京都,ダート,1400,右,曇,良,5,7,14,ホウショウマリス,牝,2,55,丹内祐次,1:27.1,クビ,3-2,39.1,6.9,5,462,-2
京都,ダート,1400,右,曇,良,6,5,10,セレジェイラ,牝,2,55,西村淳也,1:27.1,アタマ,3-2,38.9,6.9,4,482,+4
京都,ダート,1400,右,曇,良,7,6,11,アイドルアイズ,牝,2,53,吉村誠之,1:27.2,3/4,5-6,38.9,102.3,11,420,-6
京都,ダート,1400,右,曇,良,8,4,8,トップレディー,牝,2,55,酒井学,1:27.3,クビ,2-1,39.3,25.5,8,518,-2
京都,ダート,1400,右,曇,良,9,3,5,ライツユーアップ,牝,2,52,古川奈穂,1:27.5,1,5-6,39.2,5.1,2,442,+4
京都,ダート,1400,右,曇,良,10,3,6,ピリナマアナ,牝,2,55,佐々木大,1:27.8,2,15-15,38.4,9.6,6,452,-8
京都,ダート,1400,右,曇,良,11,5,9,タガノキャロル,牝,2,55,小崎綾也,1:28.2,2.1/2,15-15,38.9,265.8,15,454,+4
京都,ダート,1400,右,曇,良,12,4,7,バシリス,牝,2,55,岩田望来,1:28.4,1.1/4,1-2,40.5,3.0,1,454,-2
京都,ダート,1400,右,曇,良,13,1,2,ゴルティス,牝,2,55,菱田裕二,1:28.7,1.3/4,5-9,40.5,197.4,13,444,0
京都,ダート,1400,右,曇,良,14,1,1,トゥルプ,牝,2,52,川端海翼,1:28.9,1,13-13,40.0,215.8,14,484,+18
京都,ダート,1400,右,曇,良,15,8,15,バストス,牝,2,55,吉田隼人,1:28.9,ハナ,13-13,40.0,291.6,16,484,+16
京都,ダート,1400,右,曇,良,16,2,3,インマイブラッド,牝,2,55,団野大成,1:28.9,アタマ,10-9,40.4,162.6,12,422,-6
