場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
小倉,,,,晴,良,1,1,1,ビーオールアイズ,セ,5,59,植野貴也,3:45.5,,8-9-5-4,13.3,2.3,1,458,+6
小倉,,,,晴,良,2,5,8,セデックカズマ,牡,6,59,平沢健治,3:45.6,クビ,4-6-3-3,13.3,5.6,2,512,+6
小倉,,,,晴,良,3,3,4,タイキフロリゼル,牡,4,58,北沢伸也,3:45.7,1,2-2-1-1,13.3,8.0,4,482,+2
小倉,,,,晴,良,4,5,7,ショウナンサルヴォ,牡,4,58,難波剛健,3:45.9,1.1/4,13-12-8-6,13.3,8.0,3,498,+4
小倉,,,,晴,良,5,6,9,ストレイライトラン,セ,7,59,草野太郎,3:46.6,4,4-4-2-2,13.4,186.0,14,500,+2
小倉,,,,晴,良,6,3,3,ホシルミエール,セ,9,59,白浜雄造,3:47.1,3,10-10-10-10,13.4,11.9,6,464,-4
小倉,,,,晴,良,7,2,2,シャリオヴァルト,セ,9,59,蓑島靖典,3:47.1,ハナ,4-4-5-8,13.4,39.5,10,460,-4
小倉,,,,晴,良,8,8,13,アーネストホープ,セ,8,59,伴啓太,3:47.2,クビ,4-6-9-9,13.4,55.0,12,482,+4
小倉,,,,晴,良,9,8,14,テイエムクロムシャ,牡,6,59,小坂忠士,3:47.2,クビ,8-6-5-6,13.4,12.4,7,482,+4
小倉,,,,晴,良,10,4,6,マイネルパラディ,セ,8,59,熊沢重文,3:47.3,クビ,1-1-3-4,13.4,11.7,5,476,+4
小倉,,,,晴,良,11,6,10,タガノファジョーロ,牡,6,59,黒岩悠,3:48.6,8,11-11-11-11,13.5,67.6,13,470,+14
小倉,,,,晴,良,12,7,11,シェーンクラート,牡,5,59,五十嵐雄,3:50.1,9,12-12-12-12,13.6,33.5,9,520,+12
小倉,,,,晴,良,中,4,5,アイファーアクター,牡,6,59,上野翔,,,3-3,,29.2,8,500,+14
小倉,,,,晴,良,中,7,12,アースドラゴン,牡,6,59,大江原圭,,,,,40.3,11,494,+2
