場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,ダート,1800,左,小雨,不良,1,4,4,ロードラビリンス,牡,2,54,西塚洸二,1:54.1,,3-3-4-3,38.1,7.4,4,474,+4
中京,ダート,1800,左,小雨,不良,2,8,11,イサナ,牡,2,55,松山弘平,1:54.5,2.1/2,2-2-2-2,38.7,2.2,1,510,-4
中京,ダート,1800,左,小雨,不良,3,1,1,ダノンフェルゼン,牡,2,55,坂井瑠星,1:54.9,2.1/2,6-6-8-6,38.3,6.3,3,480,0
中京,ダート,1800,左,小雨,不良,4,7,9,タイセイアビリティ,牡,2,52,吉村誠之,1:55.4,3,9-9-8-8,38.7,14.0,6,472,-4
中京,ダート,1800,左,小雨,不良,5,8,10,ブライトイメル,牡,2,55,幸英明,1:55.9,3,10-9-4-5,39.9,4.6,2,424,-2
中京,ダート,1800,左,小雨,不良,6,2,2,ゴルティス,牝,2,55,藤懸貴志,1:56.2,1.3/4,1-1-1-1,40.6,29.8,8,450,+4
中京,ダート,1800,左,小雨,不良,7,3,3,パワーストーン,牝,2,52,柴田裕一,1:56.5,1.1/2,6-8-8-9,39.8,70.6,10,464,+2
中京,ダート,1800,左,小雨,不良,8,5,5,ソードナイト,牡,2,55,岩田望来,1:56.7,1.1/2,3-3-2-3,40.9,9.3,5,480,0
中京,ダート,1800,左,小雨,不良,9,7,8,ディクシャ,牡,2,55,酒井学,1:57.0,1.1/2,6-6-6-6,40.7,28.6,7,476,+14
中京,ダート,1800,左,小雨,不良,10,6,7,ヒカルノキミ,牡,2,55,森裕太朗,1:57.1,1/2,11-11-11-11,39.2,243.0,11,458,-2
中京,ダート,1800,左,小雨,不良,11,6,6,テーオーシュタルク,牡,2,54,小沢大仁,1:57.3,1,5-5-7-9,40.8,36.6,9,470,-4
