場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,ダート,1800,左,雨,良,1,3,3,タクシンイメル,牝,3,53,坂井瑠星,1:54.0,,2-2-2-2,38.1,2.3,2,464,-20
中京,ダート,1800,左,雨,良,2,7,7,ヒヒーン,牝,3,53,川田将雅,1:54.7,4,5-5-5-5,38.1,2.1,1,472,+2
中京,ダート,1800,左,雨,良,3,4,4,アルムエアフォルク,牝,4,56,和田竜二,1:54.8,1/2,4-3-4-4,38.5,6.3,3,472,-4
中京,ダート,1800,左,雨,良,4,5,5,タガノエクレール,牝,3,50,橋木太希,1:55.0,1,1-1-1-1,39.4,19.9,5,462,0
中京,ダート,1800,左,雨,良,5,8,9,シゲルオトヒメ,牝,5,56,酒井学,1:55.4,2.1/2,9-8-8-8,38.3,12.4,4,430,0
中京,ダート,1800,左,雨,良,6,1,1,オウケンヴィーナス,牝,3,53,川又賢治,1:55.4,クビ,6-6-6-6,38.6,72.1,7,402,-4
中京,ダート,1800,左,雨,良,7,6,6,ポジティブガール,牝,5,55,西塚洸二,1:55.4,ハナ,6-6-7-7,38.5,178.9,9,460,-2
中京,ダート,1800,左,雨,良,8,8,8,ツッチーフェイス,牝,5,55,小沢大仁,1:55.8,2,3-3-3-3,39.7,31.8,6,484,0
中京,ダート,1800,左,雨,良,9,2,2,メイショウヒメゴゼ,牝,5,56,太宰啓介,1:56.5,4,8-8-9-9,39.1,138.6,8,480,+20
