場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
札幌,芝,1200,右,晴,稍重,1,5,5,ピューロマジック,牝,2,55,斎藤新,1:09.8,,1-1,35.1,2.7,1,448,-12
札幌,芝,1200,右,晴,稍重,2,3,3,リネンワルツ,牝,2,55,勝浦正樹,1:11.5,10,2-2,36.6,3.7,3,470,+4
札幌,芝,1200,右,晴,稍重,3,1,1,メジャーデビュー,牝,2,54,佐々木大,1:11.6,3/4,5-4,36.4,22.2,5,438,+8
札幌,芝,1200,右,晴,稍重,4,4,4,ヒデシンイメル,牡,2,55,池添謙一,1:11.8,1.1/2,4-4,36.8,3.6,2,450,-2
札幌,芝,1200,右,晴,稍重,5,6,6,キックアーサー,牝,2,52,小林勝太,1:11.9,クビ,2-2,37.0,6.2,4,454,+2
札幌,芝,1200,右,晴,稍重,6,8,8,サノノリッチ,牝,2,55,黛弘人,1:12.3,2.1/2,6-4,36.9,99.9,8,418,-4
札幌,芝,1200,右,晴,稍重,7,7,7,ラファガフレイバー,牡,2,55,吉田隼人,1:13.8,9,7-7,37.9,28.3,7,476,-10
札幌,芝,1200,右,晴,稍重,8,2,2,ガンバリキ,牝,2,55,丹内祐次,1:14.4,4,8-8,37.5,27.6,6,444,0
