場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
小倉,芝,2000,右,晴,稍重,1,6,9,ミッキーキャンバス,牡,3,56,浜中俊,2:01.8,,10-10-6-2,35.9,3.6,1,494,0
小倉,芝,2000,右,晴,稍重,2,2,2,スピーディブレイク,牡,3,53,今村聖奈,2:02.1,1.1/2,10-11-12-9,35.4,4.7,3,432,+2
小倉,芝,2000,右,晴,稍重,3,5,7,アスターブジエ,牡,3,56,西村淳也,2:02.2,3/4,13-13-9-5,36.0,6.6,5,454,+2
小倉,芝,2000,右,晴,稍重,4,4,5,ボールドステート,牡,3,56,丹内祐次,2:02.8,3.1/2,9-8-6-5,36.9,8.5,6,472,0
小倉,芝,2000,右,晴,稍重,5,7,11,トノパー,牡,3,56,藤岡佑介,2:03.1,2,5-6-2-2,37.5,4.1,2,502,+14
小倉,芝,2000,右,晴,稍重,6,1,1,フィールザオーラ,牝,3,54,黛弘人,2:03.1,ハナ,7-6-6-4,37.2,6.5,4,460,0
小倉,芝,2000,右,晴,稍重,7,4,4,アイラブユー,牝,3,54,原田和真,2:03.5,2.1/2,12-11-10-8,37.2,231.6,11,428,0
小倉,芝,2000,右,晴,稍重,8,7,10,ディヴァインアロー,牡,3,56,古川吉洋,2:03.6,1/2,2-2-1-1,38.3,25.6,7,484,-2
小倉,芝,2000,右,晴,稍重,9,8,13,ウィングマン,牡,3,56,斎藤新,2:04.3,4,2-3-2-9,38.7,56.7,9,456,0
小倉,芝,2000,右,晴,稍重,10,3,3,ウインステイトリー,牡,3,54,藤田菜七,2:04.4,1/2,5-4-11-12,38.0,153.7,10,516,+2
小倉,芝,2000,右,晴,稍重,11,6,8,ブライトクラウン,牡,3,56,嶋田純次,2:04.5,1/2,1-1-2-5,38.9,293.0,12,434,0
小倉,芝,2000,右,晴,稍重,12,8,12,ヤマカツキントーン,牡,3,56,幸英明,2:04.5,クビ,4-4-5-9,38.8,25.9,8,484,-4
小倉,芝,2000,右,晴,稍重,13,5,6,ドゥライト,牡,3,53,鷲頭虎太,2:05.3,5,7-8-13-13,38.4,294.9,13,488,+2
