場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,ダート,1800,左,晴,良,1,1,1,ソルナシエンテ,牡,3,55,高杉吏麒,1:55.0,,6-5-4-4,37.5,4.4,2,506,0
中京,ダート,1800,左,晴,良,2,3,5,ビービーバザーク,牡,3,57,浜中俊,1:55.5,3,1-1-1-1,38.8,6.4,4,488,0
中京,ダート,1800,左,晴,良,3,8,16,ラファル,牡,3,57,武豊,1:55.8,2,2-3-3-3,38.8,3.1,1,510,0
中京,ダート,1800,左,晴,良,4,1,2,エイシンアニーモ,牡,3,55,永島まな,1:55.8,クビ,2-2-2-2,39.0,14.7,5,492,0
中京,ダート,1800,左,晴,良,5,2,3,ルシタニア,牡,3,57,菱田裕二,1:56.0,1,7-7-7-5,38.1,34.0,9,474,0
中京,ダート,1800,左,晴,良,6,6,11,テスティモーネ,牡,3,57,国分優作,1:56.3,2,8-10-9-8,38.3,40.1,11,512,0
中京,ダート,1800,左,晴,良,7,2,4,ペルティナクス,牡,3,55,吉村誠之,1:57.2,5,8-10-11-9,38.9,17.9,7,522,0
中京,ダート,1800,左,晴,良,8,3,6,ステイトゥルー,牡,3,54,今村聖奈,1:57.7,3,5-5-6-7,39.9,54.1,12,460,0
中京,ダート,1800,左,晴,良,9,4,8,カーボナード,牡,3,57,幸英明,1:58.2,3,13-14-14-12,39.6,38.4,10,456,0
中京,ダート,1800,左,晴,良,10,7,14,ダノンポセイドン,牡,3,57,ルメート,1:58.2,ハナ,13-13-11-14,39.8,15.2,6,508,0
中京,ダート,1800,左,晴,良,11,8,15,リアルスター,牡,3,56,田口貫太,1:58.3,1/2,2-3-4-5,40.8,5.1,3,540,0
中京,ダート,1800,左,晴,良,12,7,13,フガート,牡,3,57,松山弘平,1:58.9,3.1/2,12-12-11-9,40.6,25.3,8,506,0
中京,ダート,1800,左,晴,良,13,5,10,ワンダーティコ,牝,3,55,中井裕二,1:59.0,クビ,8-8-7-9,41.1,226.3,16,470,0
中京,ダート,1800,左,晴,良,14,4,7,テーオーウィルソン,牡,3,57,古川吉洋,1:59.5,3,15-15-15-15,39.7,83.7,13,538,0
中京,ダート,1800,左,晴,良,15,6,12,テイエムタワードン,牡,3,57,太宰啓介,1:59.9,2,16-16-16-16,39.3,185.8,15,528,0
中京,ダート,1800,左,晴,良,16,5,9,カシノエイサップ,牡,3,54,川端海翼,2:03.6,大,8-8-9-12,45.6,150.1,14,490,0
