場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,ダート,1200,右,晴,稍重,1,2,4,ドンアミティエ,牡,3,56,藤岡康太,1:12.2,,1-1,37.3,1.9,1,468,-6
京都,ダート,1200,右,晴,稍重,2,4,8,ノースディーバ,牡,3,56,団野大成,1:13.7,9,2-2,38.7,51.7,9,514,-4
京都,ダート,1200,右,晴,稍重,3,3,6,コパノハンプトン,牡,3,56,岩田康誠,1:13.7,ハナ,14-12,37.0,4.2,2,500,-2
京都,ダート,1200,右,晴,稍重,4,7,13,グランファラオ,牡,3,56,坂井瑠星,1:13.9,3/4,4-3,38.5,16.6,4,492,0
京都,ダート,1200,右,晴,稍重,5,3,5,タガノチョコラータ,牝,3,53,小沢大仁,1:14.0,3/4,6-5,38.3,146.2,14,518,-10
京都,ダート,1200,右,晴,稍重,6,7,14,ナムラジョシュア,牡,3,56,幸英明,1:14.6,3.1/2,6-7,38.8,65.8,10,460,-2
京都,ダート,1200,右,晴,稍重,7,8,16,ハイインザスカイ,牡,3,56,松岡正海,1:14.6,クビ,13-10,38.0,36.4,7,484,-12
京都,ダート,1200,右,晴,稍重,8,4,7,カイザーブリッツ,牡,3,55,永野猛蔵,1:15.9,8,10-10,39.6,80.1,11,480,-6
京都,ダート,1200,右,晴,稍重,9,5,9,プライムレート,牝,3,54,水口優也,1:15.9,クビ,4-5,40.5,23.1,5,472,+4
京都,ダート,1200,右,晴,稍重,10,8,15,クインズベル,牝,3,54,藤岡佑介,1:15.9,アタマ,8-7,39.9,26.6,6,464,+8
京都,ダート,1200,右,晴,稍重,11,2,3,アスターチェンチ,牡,3,53,川端海翼,1:16.2,1.1/2,10-12,39.9,148.6,15,520,+14
京都,ダート,1200,右,晴,稍重,12,1,2,エコロドゥネス,牡,3,56,武豊,1:16.4,1.1/2,8-9,40.5,4.2,3,496,0
京都,ダート,1200,右,晴,稍重,13,6,11,ワイアウ,牝,3,54,浜中俊,1:16.6,1.1/4,15-15,38.9,83.3,12,458,0
京都,ダート,1200,右,晴,稍重,14,5,10,デアシュトゥルム,牡,3,56,鮫島克駿,1:16.7,クビ,12-14,40.1,42.5,8,452,+2
京都,ダート,1200,右,晴,稍重,15,6,12,ターンソウル,牡,3,56,宮崎北斗,1:18.6,大,3-3,43.4,103.2,13,478,-10
京都,ダート,1200,右,晴,稍重,除,1,1,メルティーショコラ,牝,3,52,小林脩斗,,,,,---,,454,-14
