場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
京都,,,,曇,良,1,8,13,フルメタルボディー,セ,4,58,吉村誠之,1:20.7,,2-2,34.4,18.6,8,498,+4
京都,,,,曇,良,2,4,5,テラステラ,牡,4,58,坂井瑠星,1:20.9,1.1/4,5-6,34.1,7.5,3,480,+6
京都,,,,曇,良,3,7,12,リチャードバローズ,牡,3,57,岩田望来,1:21.0,1/2,8-3,34.3,2.4,1,506,-4
京都,,,,曇,良,4,5,8,エイムフォーエース,牡,3,57,酒井学,1:21.1,1/2,5-6,34.4,24.5,9,452,+14
京都,,,,曇,良,5,5,7,モズアンタレス,牝,4,56,武豊,1:21.2,クビ,3-3,34.7,6.6,2,492,-4
京都,,,,曇,良,6,4,6,イサチルシーサイド,牡,3,57,木幡初也,1:21.3,1/2,3-5,34.7,25.7,10,480,+8
京都,,,,曇,良,7,1,1,ウルトラソニック,牡,6,58,川須栄彦,1:21.3,クビ,9-9,34.2,123.4,14,478,+2
京都,,,,曇,良,8,6,9,シンプリーオーサム,牡,4,58,松山弘平,1:21.3,アタマ,9-9,34.3,8.4,5,554,+4
京都,,,,曇,良,9,7,11,カイカノキセキ,牝,5,56,Ｃ．デム,1:21.3,ハナ,1-1,35.0,14.4,6,496,-6
京都,,,,曇,良,9,8,14,メイショウコギク,牝,4,56,田口貫太,1:21.3,同着,9-9,34.3,92.9,13,462,+16
京都,,,,曇,良,11,6,10,ゴールドサーベル,牡,3,57,ムーア,1:21.5,1.1/4,9-9,34.5,8.0,4,468,+6
京都,,,,曇,良,12,3,4,トーホウフランゴ,牝,4,56,団野大成,1:21.5,ハナ,13-13,34.2,43.2,11,438,0
京都,,,,曇,良,13,3,3,メイショウカイト,牝,6,56,浜中俊,1:21.6,1/2,5-6,34.8,16.6,7,470,-4
京都,,,,曇,良,14,2,2,デルマカンノン,牝,6,56,マーカン,1:21.7,クビ,13-13,34.4,59.7,12,464,-8
