場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中山,,,,小雨,良,1,2,2,ジャスパークローネ,牡,3,56,武豊,1:09.1,,1-1,35.0,4.2,3,480,-4
中山,,,,小雨,良,2,6,8,アラクレ,牝,3,54,丹内祐次,1:09.3,1.1/4,10-6,34.5,99.7,10,430,0
中山,,,,小雨,良,3,1,1,オードゥメール,牝,3,54,石川裕紀,1:09.3,クビ,5-3,34.8,9.0,4,456,+2
中山,,,,小雨,良,4,8,12,グラスミヤラビ,牝,3,51,横山琉人,1:09.3,クビ,3-3,34.9,9.0,5,482,0
中山,,,,小雨,良,5,5,7,フリートオブフット,牝,3,54,横山武史,1:09.4,1/2,8-9,34.7,2.8,1,448,-4
中山,,,,小雨,良,6,4,5,ネレイド,牝,3,54,柴田大知,1:09.5,1/2,2-2,35.3,12.2,6,440,-2
中山,,,,小雨,良,7,5,6,ラニュイエトワール,セ,3,56,津村明秀,1:09.8,1.1/2,5-6,35.3,35.3,8,466,+12
中山,,,,小雨,良,8,7,10,ジョーブリッランテ,牡,3,56,松岡正海,1:09.9,3/4,8-9,35.3,3.8,2,498,+2
中山,,,,小雨,良,9,3,3,アカザ,牝,3,54,宮崎北斗,1:10.1,1,5-6,35.6,35.5,9,430,-12
中山,,,,小雨,良,10,6,9,セイウンシデン,牡,3,56,丸山元気,1:10.4,2,3-3,36.1,33.8,7,496,-10
中山,,,,小雨,良,11,8,13,ケイティーズジョウ,牝,3,51,小林脩斗,1:10.7,1.1/2,10-11,35.8,153.7,11,454,+12
中山,,,,小雨,良,12,7,11,ウインタースイート,牝,3,54,杉原誠人,1:10.9,1.1/4,12-12,35.6,590.3,13,402,0
中山,,,,小雨,良,13,4,4,トビイロノヒトミ,牝,3,52,永野猛蔵,1:11.0,1,13-13,35.2,388.8,12,446,-10
