場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,ダート,1400,左,小雨,良,1,7,14,リジル,牝,4,56,佐々木大,1:24.5,,2-2,36.2,4.3,2,488,-2
中京,ダート,1400,左,小雨,良,2,4,7,ストレングス,牡,4,58,鮫島克駿,1:24.7,1.1/2,1-1,36.5,4.1,1,464,+4
中京,ダート,1400,左,小雨,良,3,3,5,ナイトアクアリウム,牡,5,58,長岡禎仁,1:24.8,クビ,13-13,35.5,6.3,4,496,+2
中京,ダート,1400,左,小雨,良,3,6,12,キャプテンネキ,牝,4,56,松若風馬,1:24.8,同着,2-2,36.5,6.8,5,550,0
中京,ダート,1400,左,小雨,良,5,7,13,ロレンツォ,牡,7,58,荻野極,1:24.9,1,13-13,35.6,60.6,10,484,0
中京,ダート,1400,左,小雨,良,6,3,6,ドゥータップ,牡,4,58,西塚洸二,1:25.0,1/2,4-4,36.6,4.4,3,506,-2
中京,ダート,1400,左,小雨,良,7,5,10,ジャーヴィス,牡,5,58,泉谷楓真,1:25.1,1/2,8-10,36.3,20.4,7,492,-4
中京,ダート,1400,左,小雨,良,8,2,3,モナルヒ,牡,6,58,斎藤新,1:25.2,クビ,16-13,35.7,129.8,13,492,+10
中京,ダート,1400,左,小雨,良,9,2,4,パーティーベル,牡,6,58,富田暁,1:25.2,クビ,12-11,36.1,133.4,14,460,0
中京,ダート,1400,左,小雨,良,10,8,16,ヘルモーズ,牡,4,58,シュタル,1:25.4,1.1/4,5-5,36.9,19.9,6,516,+4
中京,ダート,1400,左,小雨,良,11,1,2,エメラルドビーチ,牡,5,58,角田大和,1:25.4,クビ,8-8,36.6,64.3,11,532,+4
中京,ダート,1400,左,小雨,良,12,1,1,グラスシフォン,牝,5,56,小沢大仁,1:25.5,1/2,8-8,36.7,106.6,12,434,-10
中京,ダート,1400,左,小雨,良,13,5,9,ローズバルサム,牝,5,56,川又賢治,1:25.8,2,11-11,36.8,20.7,8,442,+4
中京,ダート,1400,左,小雨,良,14,6,11,マルカラピッド,牝,5,56,今村聖奈,1:26.1,1.1/2,13-16,36.8,135.3,15,480,-6
中京,ダート,1400,左,小雨,良,15,8,15,アイファースキャン,牡,5,58,秋山稔樹,1:26.1,クビ,5-5,37.5,242.5,16,492,-4
中京,ダート,1400,左,小雨,良,16,4,8,スマートアンバー,牝,5,56,丸山元気,1:26.3,1.1/2,5-5,37.8,33.5,9,476,+4
