場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
福島,,,,晴,良,1,8,11,レッドバロッサ,セ,5,60,小牧加矢,3:01.7,,3-3-2-3,13.2,3.5,2,502,-6
福島,,,,晴,良,2,8,10,ゴールドブリーズ,牡,6,60,石神深一,3:02.2,3,1-1-1-1,13.3,2.6,1,514,+10
福島,,,,晴,良,3,6,6,トランシルヴァニア,セ,7,57,坂口智康,3:02.4,1.1/4,2-2-2-2,13.3,18.7,6,494,-2
福島,,,,晴,良,4,4,4,レッドスパロー,牡,6,60,上野翔,3:02.8,2.1/2,3-6-5-4,13.3,39.9,9,510,+6
福島,,,,晴,良,5,6,7,モーソンピーク,牡,7,60,伴啓太,3:03.7,5,3-3-5-4,13.4,7.3,4,506,+12
福島,,,,晴,良,6,2,2,タマモエース,牡,5,60,小野寺祐,3:04.0,1.3/4,6-3-4-6,13.4,4.7,3,490,-2
福島,,,,晴,良,7,7,8,ヴィナクローナ,牡,4,59,大江原圭,3:04.1,1/2,7-6-5-6,13.4,22.0,7,482,0
福島,,,,晴,良,8,1,1,ユーカリグニー,牡,4,59,難波剛健,3:04.6,3.1/2,7-6-8-8,13.4,29.3,8,498,+4
福島,,,,晴,良,9,3,3,ソルドラード,セ,8,60,五十嵐雄,3:05.3,4,9-10-9-9,13.5,14.6,5,510,+12
福島,,,,晴,良,10,7,9,パープルアドミラル,牡,4,59,中村将之,3:07.7,大,10-9-10-10,13.7,164.3,11,432,-4
福島,,,,晴,良,11,5,5,キリシマタウン,牡,5,57,水沼元輝,3:12.2,大,10-11-11-11,14.0,130.7,10,472,+14
